slug,city,country,region,mode,n_stations,annual_riders,annual_year_raw,annual_year,vintage_basis,measure_def,measure_note,measure_source,convention_family,metric_confidence,value_status,evidence,annual_url,source_id,urban_pop,urban_area_km2,pop_source,population_basis,trips_per_capita,mode_scope,mode_scope_checked,mode_scope_evidence,mode_scope_url,has_ridership,metric_known,citation_resolves,denominator_consistent,vintage_comparable,mode_scope_known,mode_scope_consistent,usable_for_ratio
shanghai,Shanghai,China,Asia,metro,346,3700000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,773,795,900 / 进站量 2,098,778,300. matches 客运量 to 2.0% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,shanghai-annual,24874500,6340.5,"Shanghai Municipal Statistics Bureau via Wikipedia infobox, municipality total permanent population (municipality is >89% urbanized with minimal rural land, so used as built-up proxy); deliberately NOT using Demographia's merged 'Shanghai-Changzhou' 45.1M figure or Wikipedia's ~30M cross-boundary 'urban area' figure because both extend into Jiangsu and would double-count with Suzhou's separate entry in this dataset",city_proper,148.7,metro_only,system_field,,,true,true,true,false,true,true,true,false
beijing,Beijing,China,Asia,metro,340,3570000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,621,265,800 / 进站量 2,003,036,800. matches 客运量 to 1.4% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,beijing-annual,22363000,4284,Demographia 2025 (20th ed.) built-up urban area 'Beijing-HEB' (includes contiguous Hebei spillover),built_up_urban_area,159.6,metro_only,system_field,,,true,true,true,true,true,true,true,true
tokyo,Tokyo,Japan,Asia,metro,216,3533565000,2025,2025,calendar_year,estimated,estimated,system_rank,estimated,medium,,,https://www.tokyometro.jp/corporate/enterprise/passenger_rail/transportation/lines/index.html,tokyo-annual,37325000,8775,Demographia 2025 (20th ed.) built-up urban area 'Tokyo-Yokohama',built_up_urban_area,94.7,metro_only,system_field,,,true,true,true,true,true,true,true,true
guangzhou,Guangzhou,China,Asia,metro,245,3399000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,255,011,600 / 进站量 1,790,980,400. matches 客运量 to 4.4% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,guangzhou-annual,16096724,,"China 2020 census via Wikipedia infobox, urban district population (86.19% of 18,676,605 municipality total); Demographia merges Guangzhou into 'Guangzhou-Shenzhen' 69,562,000 conurbation which is not usable per-city",city_proper,211.2,metro_only,system_field,,,true,true,true,false,true,true,true,false
shenzhen,Shenzhen,China,Asia,metro,236,3285000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,101,874,300 / 进站量 1,750,336,100. matches 客运量 to 5.9% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,shenzhen-annual,14678000,1748,"Wikipedia infobox 'Urban (2021)' citing Chinese city statistics; Shenzhen municipality total was 17,560,000 (2020); Demographia merges into 'Guangzhou-Shenzhen' 69,562,000 conurbation which is not usable per-city",city_proper,223.8,metro_only,system_field,,,true,true,true,false,true,true,true,false
seoul,Seoul,South Korea,Asia,metro,461,2417520000,2024,2024,calendar_year,station_entries,station_entries,system_rank,entries,high,,,https://www.redaily.co.kr/news/articleView.html?idxno=11429,seoul-annual,23825000,2769,Demographia 2025 (20th ed.) built-up urban area 'Seoul-Incheon',built_up_urban_area,101.5,metro_only,system_field,,,true,true,true,true,true,true,true,true
moscow,Moscow,Russia,Europe,metro,369,2415600000,2024,2024,calendar_year,estimated,estimated,system_rank,estimated,low,,,https://t-j.ru/moscowtrans-stat/,moscow-annual,18509000,6643,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,130.5,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
delhi,Delhi,India,Asia,metro,215,2358000000,2025,2025,calendar_year,unlinked_trips,unlinked_trips,system_rank,boarding,high,,,https://www.millenniumpost.in/delhi/delhi-metro-ridership-rises-to-2358-crore-in-2025-network-remains-largest-in-india-651962,delhi-annual,33224000,2344,Demographia 2025 (20th ed.) built-up urban area 'Delhi DL-UP-HR' (spills into UP/Haryana),built_up_urban_area,71.0,metro_only,system_field,,,true,true,true,true,true,true,true,true
chengdu,Chengdu,China,Asia,metro,205,2244000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 2,208,982,500 / 进站量 1,261,007,900. matches 客运量 to 1.6% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,chengdu-annual,8040000,1935,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,279.1,metro_only,system_field,,,true,true,true,true,true,true,true,true
hong-kong,Hong Kong,Hong Kong,Asia,metro,92,1900000000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,http://www.irasia.com/listco/hk/mtr/annual/2025/respress.htm,hong-kong-ts,7117000,290,Demographia 2025 (20th ed.) built-up urban area (not merged with Shenzhen due to border),built_up_urban_area,267.0,metro_plus_urban_rail,system_field,,,true,true,true,true,true,true,true,true
paris,Paris,France,Europe,metro,306,1479000000,2024,2024,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,high,,,https://ratpgroup.com/fr/rapport-activite-et-developpement-durable-2024/performances/,paris-annual,11282000,2854,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,131.1,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
hangzhou,Hangzhou,China,Asia,metro,169,1469842700,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,469,842,700 / 进站量 920,673,300. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,hangzhou-annual,12422000,1344,Demographia 2025 (20th ed.) built-up urban area 'Hangzhou-Shaoxing',built_up_urban_area,118.3,metro_only,system_field,,,true,true,true,true,true,true,true,true
cairo,Cairo,Egypt,Africa,metro,84,1460000000,2023,2023,calendar_year,estimated,estimated,system_rank,estimated,low,,,https://en.wikipedia.org/wiki/Cairo_Metro,cairo-annual,22684000,2696,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,64.4,metro_only,system_field,,,true,true,true,true,true,true,true,true
