rank,system_id,city,country,region,system,mode,annual_riders,year,measure_def,has_series,best_ts_granularity,ts_tier,confidence,annual_url
1,shanghai,Shanghai,China,Asia,Shanghai Metro,metro,3700000000,2025,station_entries,annual,annual,national_db,medium,https://www.21jingji.com/article/20260323/herald/4a067dcb98fac7137c2bd3eb930d6c4a.html
2,beijing,Beijing,China,Asia,Beijing Subway,metro,3570000000,2025,station_entries,annual,annual,national_db,medium,https://www.21jingji.com/article/20260323/herald/4a067dcb98fac7137c2bd3eb930d6c4a.html
3,tokyo,Tokyo,Japan,Asia,Tokyo subway (Tokyo Metro + Toei),metro,3533565000,2025,estimated,annual,annual,official,medium,https://www.tokyometro.jp/corporate/enterprise/passenger_rail/transportation/lines/index.html
4,guangzhou,Guangzhou,China,Asia,Guangzhou Metro,metro,3399000000,2025,station_entries,annual,annual,national_db,high,https://news.dayoo.com/guangzhou/202606/08/139995_54967477.htm
5,shenzhen,Shenzhen,China,Asia,Shenzhen Metro,metro,3285000000,2025,station_entries,annual,annual,national_db,medium,https://www.21jingji.com/article/20260323/herald/4a067dcb98fac7137c2bd3eb930d6c4a.html
6,seoul,Seoul,South Korea,Asia,Seoul Metropolitan Subway,metro,2417520000,2024,station_entries,annual,daily,official,high,https://www.redaily.co.kr/news/articleView.html?idxno=11429
7,moscow,Moscow,Russia,Europe,"Moscow Metro (+ MCC, MCD)",metro,2415600000,2024,estimated,annual,annual,community/aggregator,low,https://t-j.ru/moscowtrans-stat/
8,delhi,Delhi,India,Asia,Delhi Metro,metro,2358000000,2025,unlinked_trips,annual,annual,official,high,https://www.millenniumpost.in/delhi/delhi-metro-ridership-rises-to-2358-crore-in-2025-network-remains-largest-in-india-651962
9,chengdu,Chengdu,China,Asia,Chengdu Metro,metro,2244000000,2025,station_entries,annual,annual,national_db,medium,https://www.21jingji.com/article/20260323/herald/4a067dcb98fac7137c2bd3eb930d6c4a.html
10,hong-kong,Hong Kong,Hong Kong,Asia,MTR (+ Light Rail),metro,1900000000,2025,passenger_journeys,monthly,monthly,official,medium,http://www.irasia.com/listco/hk/mtr/annual/2025/respress.htm
11,paris,Paris,France,Europe,"Métro de Paris (+ RER, tram)",metro,1479000000,2024,passenger_journeys,annual,annual,official,high,https://ratpgroup.com/fr/rapport-activite-et-developpement-durable-2024/performances/
12,hangzhou,Hangzhou,China,Asia,Hangzhou Metro,metro,1469842700,2024,station_entries,annual,annual,national_db,medium,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
13,cairo,Cairo,Egypt,Africa,Cairo Metro,metro,1460000000,2023,estimated,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Cairo_Metro
14,wuhan,Wuhan,China,Asia,Wuhan Metro,metro,1457000000,2024,station_entries,annual,annual,national_db,high,https://finance.sina.cn/2025-01-02/detail-inecqsvs9696786.d.html?oid=Jqi&vt=4&cid=76729&node_id=76729
15,chongqing,Chongqing,China,Asia,Chongqing Rail Transit,metro,1445000000,2024,station_entries,annual,annual,national_db,high,https://en.wikipedia.org/wiki/Chongqing_Rail_Transit
16,xian,Xi'an,China,Asia,Xi'an Metro,metro,1406401300,2024,station_entries,annual,annual,national_db,medium,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
17,new-york,New York City,United States,North America,New York City Subway,metro,1281883362,2025,unlinked_trips,monthly,daily,official,high,https://www.mta.info/agency/new-york-city-transit/ridership/2025
18,singapore,Singapore,Singapore,Asia,MRT & LRT,metro,1273850000,2025,estimated,annual,monthly,official,medium,https://data.gov.sg/datasets/d_ba615ec4cc5d9f5b7800ad82057f36f1/view
19,london,London,United Kingdom,Europe,"London Underground (Tube map incl. Overground, Elizabeth line, DLR, trams)",metro,1181000000,2024,station_entries,monthly,monthly,official,high,https://content.tfl.gov.uk/travel-in-london-2024-annual-overview-acc.pdf
20,mexico-city,Mexico City,Mexico,North America,Metro de la Ciudad de México,metro,1171859113,2024,station_entries,annual,daily,official,medium,https://www.eluniversal.com.mx/metropoli/metro-de-la-cdmx-incrementa-5-su-afluencia-en-2024-pero-no-alcanza-niveles-prepandemia/
21,osaka,Osaka,Japan,Asia,Osaka Metro,metro,1114710000,2023,estimated,annual,annual,national_db,low,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E9%AB%98%E9%80%9F%E9%9B%BB%E6%B0%97%E8%BB%8C%E9%81%93
22,prague,Prague,Czechia,Europe,Prague Metro (+ trams),metro+tram,1104935520,2024,passenger_journeys,annual,annual,official,medium,https://data.praha.eu/praha-v-cislech/celkovy-pocet-cestujicich
23,nanjing,Nanjing,China,Asia,Nanjing Metro,metro,1096000000,2024,station_entries,annual,annual,national_db,high,https://tjj.nanjing.gov.cn/bmfw/njsj/202504/t20250401_5108490.html
24,changsha,Changsha,China,Asia,Changsha Metro,metro,1031632900,2024,station_entries,annual,annual,national_db,medium,https://infosharingp2-oss.camet.org.cn/resources/manual/2026/04/01/790018567319621.pdf
25,berlin,Berlin,Germany,Europe,U-Bahn + S-Bahn Berlin,metro,1010300000,2024,estimated,annual,annual,official,medium,https://www.bvg.de/dam/jcr:27ceb5b8-a738-400e-b288-0044d523d050/2025-05-05-bvg-in-zahlen-2024.pdf
26,istanbul,Istanbul,Türkiye,Europe,"Istanbul Metro (+ Marmaray, trams, funiculars)",metro,915314407,2024,station_entries,annual,daily,official,high,https://www.metro.istanbul/Content/assets/uploaded/Y%C4%B1llara%20G%C3%B6re%20Toplam%20Yolcu%20Say%C4%B1lar%C4%B1-TR-2024.pdf
27,sao-paulo,São Paulo,Brazil,South America,Metrô de São Paulo + CPTM (rede metroferroviária),metro,892700000,2025,passenger_journeys,monthly,daily,official,medium,https://diariodotransporte.com.br/2026/04/08/metro-de-sao-paulo-transporta-mais-passageiros-bate-recorde-de-satisfacao-mas-prejuizo-dispara-em-2025/
28,vienna,Vienna,Austria,Europe,U-Bahn + Straßenbahn Wien,metro+tram,873000000,2024,passenger_journeys,annual,annual,official,medium,https://presse.wien.gv.at/presse/2025/04/03/bilanz-2024-wiener-linien-erzielen-neuen-rekord-an-stammkund-innen
29,taipei,Taipei,Taiwan,Asia,Taipei Metro,metro,770000000,2025,station_entries,annual,daily,official,high,https://news.ltn.com.tw/news/life/breakingnews/5427634
